35 35
9142 -40528 15340 968 50788 30373 30123 -26417 -41608 43189 -3859 31383 2362 24335 -21750 3318 12734 8561 10122 7859 -18036 28848 -25330 -1661 -5870 -9478 7467 14597 -2101 33759 -21120 -14096 7692 24048 17515
-35642 -13712 -21061 8183 15727 10248 -10023 35931 4445 -15339 -24085 -10193 -23636 -322 -21229 18561 26945 -38070 -4557 46252 40745 7452 -36693 -20991 -24121 -9737 -4740 -27711 18626 19949 36030 -45237 5636 -7951 11060
-17628 27226 3886 -34937 -11267 -4262 39008 -4055 18102 4291 -19506 -17267 -22448 -26784 11615 -20031 19472 -25072 -3092 18869 16664 7554 26624 -18782 23151 -31925 5910 4287 16195 10413 13108 12540 14462 -44648 -26696
-2099 -5216 10501 29921 -1311 10389 3686 -15271 5440 -6372 25859 15999 13901 -14200 1628 13409 -22320 5560 -17981 -9057 -13448 -7112 12000 23504 6720 36648 34654 675 -9623 -29195 -37820 9671 -4894 10411 -31696
-47164 -8346 6736 -81 -12891 2056 -47084 25580 27076 19518 890 20978 -9773 -13763 -2172 21334 -7124 -19987 38664 -16825 4861 -27455 -19828 -7404 -8606 -3484 -36571 -10226 -28321 25277 -14198 -13214 -15246 -38832 -9932
31226 -22455 9219 13698 11573 1933 -32693 -17562 -15620 -17690 980 6003 27125 -2899 -19279 6514 9013 6605 7106 -4028 -36284 -9352 -14185 -1297 -28422 11259 1040 2026 -32003 148 19901 -20612 -11511 24863 20818
597 25724 -47799 23868 15423 975 -27399 24833 -28872 19478 14302 4633 -40622 -1184 -46955 10954 28343 10496 -3223 -4149 10520 -26006 -11150 11886 -24033 41785 -18702 -8297 -19970 26659 -27509 -27539 -3466 6820 -3670
17849 -15484 690 7071 3349 17059 979 -35532 20434 -4121 15329 -9449 7871 7391 19346 -15447 -6779 13133 22967 17580 -26340 19420 -14191 -11511 -17097 -16490 -11877 7937 -21122 13452 17300 8296 -16334 5075 -14717
28444 -6469 -18303 -15194 5650 26301 7631 -28767 8680 -45947 -9310 26487 -427 13545 43011 -12154 1828 -6211 -3222 19464 17965 20455 -58739 2784 -29306 31904 -17931 25388 -2116 2511 12050 -12876 -27650 -3728 -16821
-2413 -17516 867 15398 5067 29823 -6673 25433 3165 -43515 43306 -8108 -1467 -987 -8174 5859 -14860 15497 516 -21824 22436 155 -6143 -375 15125 31555 8207 -17012 -7550 5802 31721 -280 -2486 25260 8214
16788 -23614 -47 5068 11476 37158 -40706 -2214 -53350 327 30509 -23891 13188 24420 -18809 3998 7801 -11386 2354 -8542 8792 -3671 -8364 -15722 20475 26806 9809 18874 8802 -755 3068 -18176 3343 18732 1073
-23885 6868 7787 6773 1287 -27025 7218 4884 18536 13626 9481 -38222 20000 16419 26170 1131 -28929 -7319 -9302 -16863 -3143 -12212 50522 -11360 35500 -4779 -11413 5057 30196 -24096 5805 42679 3352 -30373 -1203
-24688 17116 28288 -14155 -17862 16904 -40846 1625 -7045 -41244 -10349 -3840 1097 -18492 -2829 -4839 8861 -8922 -12158 38509 -13577 8516 -9438 -6838 40236 1814 6775 6686 20428 -13816 -9890 9913 15810 9524 24706
-37110 -15985 13370 14597 -29507 3161 8405 14757 10280 -17212 4657 6507 35736 9854 8210 21038 -5824 -3470 -11001 2694 -1831 12873 13550 4204 -6230 -4844 2483 2218 3912 -3409 -6779 -7720 -1531 13778 -34635
10023 -9107 -34054 -10582 8052 12776 -13267 -4981 -9441 31616 -51734 20967 -12276 -6357 -12223 -11243 -7741 15786 245 4457 24862 -239 -47641 15211 -46672 18042 3729 -25162 -19301 6457 -20622 -37461 -31343 9065 5672
-30868 4037 -4530 15363 6855 5903 -9044 -24374 -10126 82 45847 29617 -25776 30053 -21088 -23846 -11021 -20725 38320 4625 10626 -6097 -10346 -23249 -16331 12141 -16336 -27226 -8985 -15860 -1462 -22678 -8731 22993 -1388
-17901 -12782 -4522 10196 -16821 17040 -10901 4931 -8374 34102 54302 -11344 4343 22785 -27038 -21486 11128 -5485 34685 -22852 29240 8130 -4597 -18786 1347 -1379 -15685 5933 29666 18478 -23126 -680 25348 7999 -27968
